movement,number,status,codeshareStatus,isCargo,airline,aircraft,callSign,flight_type,code
"{'airport': {'icao': 'SKFL', 'iata': 'FLA', 'name': 'Florencia', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-04 17:30Z', 'local': '2025-02-04 12:30-05:00'}, 'revisedTime': {'utc': '2025-02-04 18:15Z', 'local': '2025-02-04 13:15-05:00'}, 'terminal': '2', 'baggageBelt': 'CD1', 'quality': ['Basic', 'Live']}",9R 8646,Arrived,IsOperator,False,"{'name': 'SATENA', 'iata': '9R', 'icao': 'NSE'}",{'model': 'ATR 72'},,arrival,BOG
"{'airport': {'icao': 'MDSD', 'iata': 'SDQ', 'name': 'Santo Domingo City', 'timeZone': 'America/Santo_Domingo'}, 'scheduledTime': {'utc': '2025-02-04 18:25Z', 'local': '2025-02-04 13:25-05:00'}, 'revisedTime': {'utc': '2025-02-04 18:19Z', 'local': '2025-02-04 13:19-05:00'}, 'terminal': '1', 'baggageBelt': '03', 'quality': ['Basic', 'Live']}",AV 209,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}","{'reg': 'N944AV', 'modeS': 'AD1C18', 'model': 'Airbus A320'}",AVA209,arrival,BOG
"{'airport': {'icao': 'MPTO', 'iata': 'PTY', 'name': 'Tocumen', 'timeZone': 'America/Panama'}, 'scheduledTime': {'utc': '2025-02-04 18:40Z', 'local': '2025-02-04 13:40-05:00'}, 'revisedTime': {'utc': '2025-02-04 18:20Z', 'local': '2025-02-04 13:20-05:00'}, 'terminal': '1', 'baggageBelt': '05', 'quality': ['Basic', 'Live']}",CM 415,Arrived,IsOperator,False,"{'name': 'Copa', 'iata': 'CM', 'icao': 'CMP'}",{'model': 'Boeing 737-800'},,arrival,BOG
"{'airport': {'icao': 'KMIA', 'iata': 'MIA', 'name': 'Miami', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-02-04 18:20Z', 'local': '2025-02-04 13:20-05:00'}, 'revisedTime': {'utc': '2025-02-04 18:20Z', 'local': '2025-02-04 13:20-05:00'}, 'terminal': '2', 'quality': ['Basic', 'Live']}",5X 422,Expected,IsOperator,True,"{'name': 'UPS', 'iata': '5X', 'icao': 'UPS'}","{'reg': 'N452UP', 'modeS': 'A57B5A', 'model': 'Boeing 757-200'}",UPS422,arrival,BOG
"{'airport': {'icao': 'SKPE', 'iata': 'PEI', 'name': 'Pereira', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-04 18:40Z', 'local': '2025-02-04 13:40-05:00'}, 'revisedTime': {'utc': '2025-02-04 18:21Z', 'local': '2025-02-04 13:21-05:00'}, 'terminal': '1', 'baggageBelt': '10', 'quality': ['Basic', 'Live']}",AV 4802,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",{'model': 'ATR 72'},,arrival,BOG
"{'airport': {'icao': 'MGGT', 'iata': 'GUA', 'name': 'Guatemala City', 'timeZone': 'America/Guatemala'}, 'scheduledTime': {'utc': '2025-02-04 18:54Z', 'local': '2025-02-04 13:54-05:00'}, 'revisedTime': {'utc': '2025-02-04 18:22Z', 'local': '2025-02-04 13:22-05:00'}, 'terminal': '1', 'baggageBelt': '03', 'quality': ['Basic', 'Live']}",AV 743,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'MDPC', 'iata': 'PUJ', 'name': 'Punta Cana', 'timeZone': 'America/Santo_Domingo'}, 'scheduledTime': {'utc': '2025-02-04 18:35Z', 'local': '2025-02-04 13:35-05:00'}, 'revisedTime': {'utc': '2025-02-04 18:27Z', 'local': '2025-02-04 13:27-05:00'}, 'terminal': '1', 'baggageBelt': '02', 'quality': ['Basic', 'Live']}",AV 129,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}","{'modeS': '0ACABF', 'model': 'Airbus A320'}",AVA129,arrival,BOG
"{'airport': {'icao': 'SKCL', 'iata': 'CLO', 'name': 'Santiago de Cali', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-04 18:40Z', 'local': '2025-02-04 13:40-05:00'}, 'revisedTime': {'utc': '2025-02-04 18:29Z', 'local': '2025-02-04 13:29-05:00'}, 'terminal': '1', 'baggageBelt': '10', 'quality': ['Basic', 'Live']}",AV 9204,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'SKAS', 'iata': 'PUU', 'name': 'Puerto Asís', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-04 18:30Z', 'local': '2025-02-04 13:30-05:00'}, 'revisedTime': {'utc': '2025-02-04 18:30Z', 'local': '2025-02-04 13:30-05:00'}, 'terminal': '2', 'baggageBelt': 'CD2', 'quality': ['Basic', 'Live']}",VE 8995,Arrived,IsOperator,False,"{'name': 'EasyFly', 'iata': 'VE', 'icao': 'EFY'}",{'model': 'ATR 72'},,arrival,BOG
"{'airport': {'icao': 'SKBQ', 'iata': 'BAQ', 'name': 'Barranquilla', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-04 18:40Z', 'local': '2025-02-04 13:40-05:00'}, 'revisedTime': {'utc': '2025-02-04 18:31Z', 'local': '2025-02-04 13:31-05:00'}, 'terminal': '1', 'baggageBelt': '09', 'quality': ['Basic', 'Live']}",LA 4129,Arrived,IsOperator,False,"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'SKCL', 'iata': 'CLO', 'name': 'Santiago de Cali', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-04 18:38Z', 'local': '2025-02-04 13:38-05:00'}, 'revisedTime': {'utc': '2025-02-04 18:32Z', 'local': '2025-02-04 13:32-05:00'}, 'terminal': '1', 'baggageBelt': '07', 'quality': ['Basic', 'Live']}",LA 4066,Arrived,IsOperator,False,"{'name': 'LATAM', 'iata': 'LA', 'icao': 'LAN'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'SKCG', 'iata': 'CTG', 'name': 'Cartagena de Indias', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-04 18:40Z', 'local': '2025-02-04 13:40-05:00'}, 'revisedTime': {'utc': '2025-02-04 18:35Z', 'local': '2025-02-04 13:35-05:00'}, 'terminal': '2', 'quality': ['Basic', 'Live']}",AI 1169,Arrived,IsOperator,True,"{'name': 'Air India', 'iata': 'AI', 'icao': 'AIC'}",,,arrival,BOG
"{'airport': {'icao': 'KMIA', 'iata': 'MIA', 'name': 'Miami', 'timeZone': 'America/New_York'}, 'scheduledTime': {'utc': '2025-02-04 19:15Z', 'local': '2025-02-04 14:15-05:00'}, 'revisedTime': {'utc': '2025-02-04 18:37Z', 'local': '2025-02-04 13:37-05:00'}, 'terminal': '1', 'baggageBelt': '06', 'quality': ['Basic', 'Live']}",AA 1151,Arrived,IsOperator,False,"{'name': 'American', 'iata': 'AA', 'icao': 'AAL'}","{'reg': 'N303RG', 'modeS': 'A32BF5', 'model': 'Boeing 737'}",AAL1151,arrival,BOG
"{'airport': {'icao': 'SKUI', 'iata': 'UIB', 'name': 'Quibdó', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-04 18:25Z', 'local': '2025-02-04 13:25-05:00'}, 'revisedTime': {'utc': '2025-02-04 18:40Z', 'local': '2025-02-04 13:40-05:00'}, 'terminal': '1', 'baggageBelt': '13', 'quality': ['Basic', 'Live']}",AV 8477,Arrived,IsOperator,False,"{'name': 'Avianca', 'iata': 'AV', 'icao': 'AVA'}",{'model': 'Airbus A320'},,arrival,BOG
"{'airport': {'icao': 'SKCG', 'iata': 'CTG', 'name': 'Cartagena de Indias', 'timeZone': 'America/Bogota'}, 'scheduledTime': {'utc': '2025-02-04 18:27Z', 'local': '2025-02-04 13:27-05:00'}, 'revisedTime': {'utc': '2025-02-04 18:44Z', 'local': '2025-02-04 13:44-05:00'}, 'terminal': '2', 'baggageBelt': 'CD3', 'quality': ['Basic', 'Live']}",JA 5159,Arrived,IsOperator,False,"{'name': 'JetSMART', 'iata': 'JA', 'icao': 'JAT'}",{'model': 'Airbus A320'},,arrival,BOG
